2025-07-23 10:02:13,034 | __main__ | INFO | Starting application
2025-07-23 10:02:13,035 | __main__ | INFO | Loading CSV file from path: C:\Users\User\PycharmProjects\NaiveBayes\data\buy_computer_data.csv
2025-07-23 10:02:13,035 | loader | INFO | Loading file: C:\Users\User\PycharmProjects\NaiveBayes\data\buy_computer_data.csv
2025-07-23 10:02:13,045 | loader | INFO | File loaded successfully: C:\Users\User\PycharmProjects\NaiveBayes\data\buy_computer_data.csv
2025-07-23 10:02:13,048 | loader | INFO | File converted and saved as CSV: C:\Users\User\PycharmProjects\NaiveBayes\data\buy_computer_data.csv
2025-07-23 10:02:13,048 | cleam_table | INFO | CleanTable initialized
2025-07-23 10:02:13,048 | cleam_table | INFO | Starting cleaning process
2025-07-23 10:02:13,061 | cleam_table | INFO | drop_index: dropped 1 columns considered as index
2025-07-23 10:02:13,062 | cleam_table | INFO | drop_null: dropped 0 rows with nulls
2025-07-23 10:02:13,066 | cleam_table | INFO | drop_duplicate: dropped 0 duplicated columns
2025-07-23 10:02:13,066 | cleam_table | INFO | Cleaning process completed
2025-07-23 10:02:13,066 | __main__ | INFO | CleanTable created
2025-07-23 10:02:13,066 | test_model | INFO | Initializing TestTable...
2025-07-23 10:02:13,066 | test_model | INFO | Splitting table: 9 train / 5 test
2025-07-23 10:02:13,067 | App.model | INFO | NaiveBayesClassifier initialized
2025-07-23 10:02:13,067 | App.model | INFO | Starting model creation process
2025-07-23 10:02:13,067 | App.model | INFO | Creating initial structure for model
2025-07-23 10:02:13,067 | App.model | INFO | Initial structure created successfully
2025-07-23 10:02:13,067 | App.model | INFO | Calculating target value ratios
2025-07-23 10:02:13,070 | App.model | INFO | Calculating conditional probabilities
2025-07-23 10:02:13,074 | App.model | INFO | Probabilities assigned successfully
2025-07-23 10:02:13,074 | App.model | INFO | Model created successfully
2025-07-23 10:02:13,074 | test_model | INFO | TestTable initialized successfully
2025-07-23 10:02:13,074 | test_model | INFO | Running test...
2025-07-23 10:02:13,074 | App.model | INFO | Calculating target value ratios
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:02:13,075 | App.model | INFO | Calculating target value ratios
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:02:13,075 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:02:13,075 | App.model | INFO | Calculating target value ratios
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:02:13,076 | App.model | INFO | Calculating target value ratios
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:02:13,076 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:02:13,076 | App.model | INFO | Calculating target value ratios
2025-07-23 10:02:13,077 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:02:13,077 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:02:13,077 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:02:13,077 | App.naive_bayes | INFO | Prediction result: yes
2025-07-23 10:02:13,077 | test_model | INFO | Successful on 1 from 5, -> 20% success
2025-07-23 10:02:13,077 | model | INFO | NaiveBayesClassifier initialized
2025-07-23 10:02:13,077 | model | INFO | Starting model creation process
2025-07-23 10:02:13,077 | model | INFO | Creating initial structure for model
2025-07-23 10:02:13,077 | model | INFO | Initial structure created successfully
2025-07-23 10:02:13,077 | model | INFO | Calculating target value ratios
2025-07-23 10:02:13,078 | model | INFO | Calculating conditional probabilities
2025-07-23 10:02:13,080 | model | INFO | Probabilities assigned successfully
2025-07-23 10:02:13,081 | model | INFO | Model created successfully
2025-07-23 10:02:13,081 | __main__ | INFO | Model created
2025-07-23 10:02:15,349 | root | INFO | Root endpoint called
2025-07-23 10:02:15,456 | __main__ | INFO | Root endpoint called
2025-07-23 10:02:21,828 | __main__ | INFO | Root endpoint called
2025-07-23 10:02:21,828 | model | INFO | Calculating target value ratios
2025-07-23 10:02:21,829 | naive_bayes | INFO | Making prediction...
2025-07-23 10:02:21,829 | naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:02:21,829 | naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:02:21,829 | naive_bayes | INFO | Prediction result: yes
